Unit_CustID;Unit_Cat;Unit_Vendor;Unit_Model;Unit_Serial;Unit_type;Unit_installdate;Unit_Warend;Unit_Chargemode;Unit_Repldate;Unit_Notes;Unit_History;Unit_ID
COOP13;HS;QP;HEADSET PRO7;Q41741825;HS;2017-09-27;2019-09-26;5;1900-01-01;;0;248040;
COOP2;COM;QD;HEADSET QD;X;HS;2010-11-22;2011-11-21;2;1900-01-01;;0;233880;
COOP2;COM;QD;HEADSET QD;X;HS;2010-11-22;2011-11-21;2;1900-01-01;;0;233881;
COOP2;COM;QD;BASE 9 USERS;Q01030051;BS;2010-10-20;2011-10-19;2;1900-01-01;;0;233882;
COOP2;COM;QD;CHARGER QD;Q16910159;CH;2010-10-20;2011-10-19;2;1900-01-01;;0;233883;
COOP2;COM;QD;HEADSET QD;0JY00G090DF;HS;2010-10-20;2011-10-19;2;1900-01-01;;0;233884;
COOP2;COM;QD;HEADSET QD;0JY00DG90DF;HS;2010-10-20;2011-10-19;2;1900-01-01;;0;233885;
COOP2;COM;QD;HEADSET QD;0JY011V10DF;HS;2010-10-20;2011-10-19;2;1900-01-01;;0;233886;
COOP2;COM;QD;HEADSET QD;0JY001E90DF;HS;2010-10-20;2011-10-19;2;1900-01-01;;0;233887;
COOP2;COM;QD;HEADSET QD;0JY002L70DF;HS;2010-10-20;2011-10-19;2;1900-01-01;;0;233888;
COOP2;COM;QD;HEADSET QD;0JY008170DF;HS;2010-10-20;2011-10-19;2;1900-01-01;;0;233889;
